ID,TARGET
2,0.04897216
5,0.057672188
6,0.0016429143
7,0.0085030375
9,0.0013680786
11,0.2634017
12,0.011855952
15,0.18892893
16,0.034577794
17,0.030366074
19,0.02811772
21,0.003261414
22,0.031432103
24,0.011259738
27,0.008753163
28,0.009858556
30,0.1525458
33,0.0022226823
35,0.013561072
37,0.02129447
38,0.018192103
40,0.17968562
41,0.018918922
44,0.009013816
46,0.06353012
47,0.010097434
48,0.0024398062
50,0.0034586787
52,0.17781831
53,0.0061297202
55,0.023484562
57,0.0012167032
58,0.009785894
59,0.012097866
62,0.032560177
63,0.011300497
64,0.02237352
65,0.011168627
67,0.017994823
69,0.05584271
70,0.0022449507
71,0.048281714
72,0.014894158
73,0.0025652642
76,0.0038531558
78,0.0013562229
79,0.050361637
81,0.0016060377
85,0.010919969
86,0.0026997572
89,0.042846847
94,0.13122077
96,0.0030722255
97,0.020687941
98,0.0018615032
99,0.016460916
100,0.2683914
103,0.082723334
104,0.0044196895
108,0.017353721
110,0.0018227701
112,0.028493501
114,0.037614737
116,0.04986777
117,0.011360359
119,0.004378554
120,0.0039679366
121,0.00051931327
123,0.029810853
124,0.030770784
126,0.0011722344
128,0.012055545
129,0.109283924
133,0.048874933
138,0.020943986
147,0.031006703
149,0.025507044
158,0.0018709324
160,0.008210691
164,0.03907388
167,0.055553865
168,0.01625733
174,0.011291517
181,0.024393626
185,0.03650261
187,0.0026057754
189,0.013713042
190,0.070987806
194,0.0064697335
197,0.19140793
198,0.017315213
201,0.03551596
205,0.008269244
208,0.15715387
211,0.011442036
216,0.044329014
219,0.03662951
223,0.004062585
224,0.10574807
226,0.012616779
229,0.010380959
230,0.019670496
237,0.022903617
238,0.020683678
240,0.12088131
243,0.0009954253
245,0.11880575
246,0.24604462
247,0.004090695
248,0.004578089
249,0.0022226823
250,0.28625974
251,0.0012027932
255,0.11153213
256,0.039015695
257,0.06923784
260,0.17968562
261,0.001971084
263,0.2392709
264,0.16034779
267,0.0064586597
268,0.023754321
272,0.007908844
274,0.015586003
275,0.0053584296
277,0.27600244
278,0.34177077
280,0.0032893396
281,0.014974287
282,0.08119166
283,0.0108933635
284,0.09136609
286,0.008708136
290,0.01957211
291,0.031614404
293,0.029185284
295,0.06635165
297,0.00048618866
298,0.081997104
300,0.0017816392
304,0.0016492892
305,0.002335736
308,0.0027163583
